Order Number,Order Date,Item Name,Quantity,Product Price,Total products
630,1/9/15 14:42,Onion Bhaji,1,3.95,3
647,8/9/15 17:12,Onion Bhaji,1,3.95,3
648,8/9/15 17:31,Onion Bhaji,1,3.95,1
651,8/9/15 17:56,Onion Bhaji,1,3.95,4
764,9/9/15 9:31,Onion Bhaji,1,3.95,3
838,9/9/15 11:28,Onion Bhaji,1,3.95,4
840,9/9/15 11:35,Onion Bhaji,1,3.95,3
857,9/9/15 12:48,Onion Bhaji,1,3.95,4
874,9/9/15 14:41,Onion Bhaji,1,3.95,3
894,9/9/15 15:52,Onion Bhaji,1,3.95,4
1212,29/09/2015 15:20,Chicken Tikka,3,3.95,3
1212,29/09/2015 15:20,Tandoori Chicken (1/4),1,4.95,3
1212,29/09/2015 15:20,Chicken Tikka,1,7.95,3
1216,29/09/2015 15:36,Vegetable Samosa,2,4.95,2
1216,29/09/2015 15:36,Tandoori Fish,1,5.95,2
1219,29/09/2015 16:16,Vegetable Samosa,1,4.95,1
1220,30/09/2015 10:36,Vegetable Samosa,1,4.95,3
1220,30/09/2015 10:36,Tandoori Chicken (1/4),1,4.95,3
1220,30/09/2015 10:36,Tandoori Fish,1,5.95,3
1221,30/09/2015 15:38,Onion Bhaji,1,3.95,6
1221,30/09/2015 15:38,Vegetable Samosa,4,4.95,6
1221,30/09/2015 15:38,Tandoori Chicken (1/4),1,4.95,6
1221,30/09/2015 15:38,Prawn Puree,1,4.95,6
1221,30/09/2015 15:38,Tandoori Fish,4,5.95,6
1221,30/09/2015 15:38,Royal Paneer,1,5.95,6
1222,30/09/2015 15:50,Vegetable Samosa,1,4.95,1
1223,30/09/2015 16:52,Onion Bhaji,2,3.95,3
1223,30/09/2015 16:52,Tandoori Fish,1,5.95,3
1223,30/09/2015 16:52,Royal Paneer,1,5.95,3
1375,1/10/15 9:54,Vegetable Samosa,1,4.95,3
1375,1/10/15 9:54,Tandoori Chicken (1/4),1,4.95,3
1375,1/10/15 9:54,Tandoori Fish,1,5.95,3
1376,1/10/15 10:02,Vegetable Samosa,1,4.95,3
1376,1/10/15 10:02,Tandoori Fish,1,5.95,3
1376,1/10/15 10:02,Chicken Sylhet,1,9.95,3
1382,1/10/15 10:49,Vegetable Samosa,1,4.95,2
1382,1/10/15 10:49,Tandoori Chicken (1/4),1,4.95,2
1385,1/10/15 15:19,Tandoori Chicken (1/4),1,4.95,7
1385,1/10/15 15:19,Vegetable Samosa,1,4.95,7
1385,1/10/15 15:19,Tandoori Fish,1,5.95,7
1385,1/10/15 15:19,Sheek Kehab,2,5.95,7
1385,1/10/15 15:19,Vegetable Karahi,1,8.95,7
1385,1/10/15 15:19,Vegetable Balti,1,9.95,7
1386,1/10/15 16:28,Onion Bhaji,1,3.95,1
1387,1/10/15 16:55,Onion Bhaji,1,3.95,1
1388,1/10/15 20:12,Onion Chutney,1,0.5,6
1388,1/10/15 20:12,Mint Sauce,1,0.5,6
1388,1/10/15 20:12,Lime Pickle,1,0.5,6
1388,1/10/15 20:12,Paratha,1,2.95,6
1389,2/10/15 10:29,Onion Bhaji,1,3.95,2
1390,2/10/15 14:05,Onion Bhaji,2,3.95,4
1390,2/10/15 14:05,Vegetable Samosa,1,4.95,4
1390,2/10/15 14:05,Kurma,1,12.95,4
1397,2/10/15 14:38,Spicy Papadum,1,0.8,5
1397,2/10/15 14:38,Onion Bhaji,1,3.95,5
1397,2/10/15 14:38,COBRA (330ML),1,3.95,5
1397,2/10/15 14:38,Lamb Persian,1,10.95,5
1402,2/10/15 16:39,Onion Bhaji,1,3.95,6
1402,2/10/15 16:39,Chicken Pakora,1,5.95,6
1402,2/10/15 16:39,Cauliflower Bhajee,1,5.95,6
1402,2/10/15 16:39,Tandoori Chicken,1,8.95,6
1403,2/10/15 17:29,Paratha,1,2.95,9
1403,2/10/15 17:29,Coke 1.5 ltr,1,2.95,9
1403,2/10/15 17:29,Lemon Rice,1,3.95,9
1403,2/10/15 17:29,Vegetable Samosa,1,4.95,9
1403,2/10/15 17:29,Tandoori Chicken (1/4),1,4.95,9
1403,2/10/15 17:29,COBRA (660ML),1,5.95,9
1403,2/10/15 17:29,House Red wine 75cl,1,17.95,9
1784,7/3/16 11:18,Green Salad,1,2.95,7
1784,7/3/16 11:18,French Fries,1,3.95,7
1784,7/3/16 11:18,Bengal Salad,2,3.95,7
1784,7/3/16 11:18,Onion Bhajee,1,3.95,7
1784,7/3/16 11:18,Chicken Tikka (Main),1,8.95,7
1784,7/3/16 11:18,Sheek Kebab (Main),1,8.95,7
1784,7/3/16 11:18,Chicken Haryali,1,9.95,7
1785,7/3/16 16:59,Meat Samosa,1,3.95,5
1785,7/3/16 16:59,Onion Bhajee,1,3.95,5
1785,7/3/16 16:59,Aloo Chaat,1,4.95,5
1785,7/3/16 16:59,Vegetable Roll,1,4.95,5
1785,7/3/16 16:59,Chicken Tikka,1,4.95,5
1786,7/3/16 17:04,Onion Bhajee,2,3.95,4
1786,7/3/16 17:04,Meat Samosa,1,3.95,4
1786,7/3/16 17:04,Aloo Chaat,1,4.95,4
1786,7/3/16 17:04,Vegetable Roll,1,4.95,4
1787,7/3/16 17:09,Lamb Tikka (Main),1,8.95,1
1788,8/3/16 11:45,Green Salad,1,2.95,7
1788,8/3/16 11:45,French Fries,1,3.95,7
1788,8/3/16 11:45,Bengal Salad,2,3.95,7
1788,8/3/16 11:45,Onion Bhajee,1,3.95,7
1788,8/3/16 11:45,Chicken Tikka (Main),1,8.95,7
1788,8/3/16 11:45,Sheek Kebab (Main),1,8.95,7
1788,8/3/16 11:45,Chicken Haryali,1,9.95,7
1794,8/3/16 14:53,Onion Bhajee,2,3.95,1
1804,9/3/16 20:44,Meat Samosa,2,3.95,3
1804,9/3/16 20:44,Onion Bhajee,3,3.95,3
1805,9/3/16 20:54,Meat Samosa,1,3.95,3
1805,9/3/16 20:54,Onion Bhajee,1,3.95,3
1806,9/3/16 21:14,Aloo Chaat,1,4.95,1
1807,9/3/16 21:29,Onion Bhajee,3,3.95,3
1807,9/3/16 21:29,Meat Samosa,2,3.95,3
1808,10/3/16 12:36,Meat Samosa,1,3.95,4
1808,10/3/16 12:36,Onion Bhajee,1,3.95,4
1808,10/3/16 12:36,Aloo Chaat,1,4.95,4
1809,10/3/16 17:27,Chapati,1,1.95,9
1809,10/3/16 17:27,Puree,1,1.95,9
1809,10/3/16 17:27,Green Salad,1,2.95,9
1809,10/3/16 17:27,Onion Naan,1,2.95,9
1809,10/3/16 17:27,French Fries,1,3.95,9
1809,10/3/16 17:27,Bengal Salad,1,3.95,9
1809,10/3/16 17:27,Stuffed Paratha,1,3.95,9
1809,10/3/16 17:27,COBRA (660ML),1,5.95,9
1809,10/3/16 17:27,Vegetable Karahi,1,8.95,9
1810,10/3/16 20:18,Onion Chutney,1,0.5,1
1813,11/3/16 10:23,French Fries,1,3.95,2
1813,11/3/16 10:23,Bengal Salad,1,3.95,2
1818,11/3/16 12:00,Onion Bhajee,1,3.95,2
1834,11/3/16 16:07,Meat Samosa,1,3.95,3
1834,11/3/16 16:07,Onion Bhajee,1,3.95,3
1953,15/03/2016 09:24,Meat Samosa,1,3.95,3
1953,15/03/2016 09:24,Onion Bhajee,1,3.95,3
2019,15/03/2016 11:58,Puree,1,1.95,4
2019,15/03/2016 11:58,Meat Samosa,1,3.95,4
2019,15/03/2016 11:58,Chicken Tikka Masala,1,8.95,4
2019,15/03/2016 11:58,Chicken Tikka (Main),1,8.95,4
2032,15/03/2016 14:48,Meat Samosa,1,3.95,1
2035,15/03/2016 21:27,Green Salad,1,2.95,12
2035,15/03/2016 21:27,Plain Rice,1,2.95,12
2035,15/03/2016 21:27,Pilau Rice,1,2.95,12
2035,15/03/2016 21:27,French Fries,1,3.95,12
2035,15/03/2016 21:27,Bengal Salad,1,3.95,12
2035,15/03/2016 21:27,Lemon Rice,1,3.95,12
2035,15/03/2016 21:27,Madras,1,7.95,12
2035,15/03/2016 21:27,Chicken Tikka Masala,1,8.95,12
2035,15/03/2016 21:27,Vegetable Karahi,1,8.95,12
2035,15/03/2016 21:27,Chicken Tikka Karahi,1,9.95,12
2035,15/03/2016 21:27,Chicken Haryali,1,9.95,12
2040,16/03/2016 11:31,Chapati,1,1.95,2
2053,16/03/2016 11:58,Meat Samosa,1,3.95,1
2071,17/03/2016 18:30,Plain Naan,1,2.6,6
2071,17/03/2016 18:30,Saag Rice,1,3.95,6
2071,17/03/2016 18:30,Chicken Chaat,1,4.95,6
2071,17/03/2016 18:30,Sheek Kehab,1,4.95,6
2071,17/03/2016 18:30,Madras,1,7.95,6
2071,17/03/2016 18:30,Lamb Shashlick,1,9.95,6
2072,17/03/2016 18:52,Plain Papadum,4,0.8,8
2072,17/03/2016 18:52,Plain Naan,1,2.6,8
2072,17/03/2016 18:52,Keema Naan,1,2.95,8
2072,17/03/2016 18:52,Plain Rice,1,2.95,8
2072,17/03/2016 18:52,French Fries,1,3.95,8
2072,17/03/2016 18:52,Chicken Tikka,1,4.95,8
2072,17/03/2016 18:52,Bombay Aloo,1,5.95,8
2072,17/03/2016 18:52,Curry,1,7.95,8
2073,17/03/2016 19:43,Onion Chutney,1,0.5,6
2073,17/03/2016 19:43,Mint Sauce,1,0.5,6
2073,17/03/2016 19:43,Plain Papadum,2,0.8,6
2073,17/03/2016 19:43,Egg Rice,1,3.95,6
2073,17/03/2016 19:43,Tandoori Mixed Grill,1,11.95,6
2073,17/03/2016 19:43,Hazary Lamb,1,12.95,6
2074,17/03/2016 19:56,Garlic Naan,1,2.95,5
2074,17/03/2016 19:56,Pilau Rice,1,2.95,5
2074,17/03/2016 19:56,Garlic Rice,1,3.95,5
2074,17/03/2016 19:56,Chicken Tikka Masala,1,8.95,5
2074,17/03/2016 19:56,Dupiaza,1,8.95,5
2092,18/03/2016 12:15,Kulcha Naan,1,2.95,4
2092,18/03/2016 12:15,Baingan Hari Mirch,1,5.95,4
2092,18/03/2016 12:15,Vegetable Biryani,1,9.95,4
2092,18/03/2016 12:15,Chicken Tikka Biryani,1,10.95,4
2093,18/03/2016 13:02,Special Fried Rice,1,3.95,3
2093,18/03/2016 13:02,Bhuna,1,8.95,3
2093,18/03/2016 13:02,Butter Chicken,1,9.95,3
2094,18/03/2016 17:39,Meat Samosa,1,3.95,3
2094,18/03/2016 17:39,Royal Paneer,1,5.95,3
2094,18/03/2016 17:39,Persian Lamb Biryani,1,10.95,3
2095,18/03/2016 17:51,Plain Rice,1,2.95,4
2095,18/03/2016 17:51,Peshwari Naan,1,2.95,4
2095,18/03/2016 17:51,Korma,1,8.95,4
2095,18/03/2016 17:51,King Prawn Shaslick,1,12.95,4
2096,18/03/2016 18:08,Red Sauce,1,0.5,5
2096,18/03/2016 18:08,Mint Sauce,1,0.5,5
2096,18/03/2016 18:08,Plain Naan,1,2.6,5
2096,18/03/2016 18:08,Meat Samosa,1,3.95,5
2096,18/03/2016 18:08,Chicken Biryani,1,9.95,5
2097,18/03/2016 18:36,Keema Naan,2,2.95,13
2097,18/03/2016 18:36,Peshwari Naan,1,2.95,13
2097,18/03/2016 18:36,Plain Rice,1,2.95,13
2097,18/03/2016 18:36,Mushroom Rice,4,3.95,13
2097,18/03/2016 18:36,Keema Rice,1,3.95,13
2097,18/03/2016 18:36,Meat Samosa,1,3.95,13
2097,18/03/2016 18:36,Saag Paneer,2,5.95,13
2097,18/03/2016 18:36,Bombay Aloo,1,5.95,13
2097,18/03/2016 18:36,Madras,1,7.95,13
2097,18/03/2016 18:36,Chicken Tikka Masala,2,8.95,13
2097,18/03/2016 18:36,Chicken Tikka Chilli Masala,1,8.95,13
2097,18/03/2016 18:36,Korma,1,8.95,13
2097,18/03/2016 18:36,Butter Chicken,1,9.95,13
2098,18/03/2016 18:47,Peshwari Naan,1,2.95,5
2098,18/03/2016 18:47,Mushroom Rice,1,3.95,5
2098,18/03/2016 18:47,Mixed Starter,1,5.95,5
2098,18/03/2016 18:47,Dall Samba,1,5.95,5
2098,18/03/2016 18:47,Chicken Tikka Jalfrezi,1,8.95,5
2099,18/03/2016 18:47,Chapati,6,1.95,5
2099,18/03/2016 18:47,Plain Rice,1,2.95,5
2099,18/03/2016 18:47,Lemonade 1.5 ltr,1,2.95,5
2099,18/03/2016 18:47,Madras,1,7.95,5
2099,18/03/2016 18:47,Chicken Tikka Balti,1,10.95,5
2100,18/03/2016 18:54,Mint Sauce,1,0.5,9
2100,18/03/2016 18:54,Onion Chutney,1,0.5,9
2100,18/03/2016 18:54,Plain Papadum,4,0.8,9
2100,18/03/2016 18:54,Plain Naan,1,2.6,9
2100,18/03/2016 18:54,Pilau Rice,1,2.95,9
2100,18/03/2016 18:54,Mushroom Rice,1,3.95,9
2100,18/03/2016 18:54,Bombay Aloo,1,5.95,9
2100,18/03/2016 18:54,Madras,1,7.95,9
2100,18/03/2016 18:54,Butter Chicken,1,9.95,9
2101,18/03/2016 18:56,Garlic Naan,2,2.95,6
2101,18/03/2016 18:56,Pilau Rice,1,2.95,6
2101,18/03/2016 18:56,Prawn Puree,1,4.95,6
2101,18/03/2016 18:56,Chicken Pakora,1,5.95,6
2101,18/03/2016 18:56,Chicken Tikka Chilli Masala,1,8.95,6
2101,18/03/2016 18:56,Lamb Tikka (Main),1,8.95,6
2102,18/03/2016 19:05,Plain Papadum,2,0.8,6
2102,18/03/2016 19:05,Plain Naan,1,2.6,6
2102,18/03/2016 19:05,Onion Bhajee,1,3.95,6
2102,18/03/2016 19:05,Sheek Kehab,1,4.95,6
2102,18/03/2016 19:05,Chicken Shashlick,1,9.95,6
2102,18/03/2016 19:05,Chicken Tikka Biryani,1,10.95,6
2103,18/03/2016 19:05,Onion Chutney,1,0.5,9
2103,18/03/2016 19:05,Mushroom Rice,1,3.95,9
2103,18/03/2016 19:05,Tandoori Chicken (1/4),1,4.95,9
2103,18/03/2016 19:05,King Prawn Butterfly,1,5.95,9
2103,18/03/2016 19:05,Cauliflower Bhajee,1,5.95,9
2103,18/03/2016 19:05,Bombay Aloo,1,5.95,9
2103,18/03/2016 19:05,Vindaloo,1,7.95,9
2103,18/03/2016 19:05,Lal Mirch Lamb,1,9.95,9
2103,18/03/2016 19:05,Prawn Karahi,1,9.95,9
2104,18/03/2016 19:24,Garlic Naan,1,2.95,5
2104,18/03/2016 19:24,Pilau Rice,1,2.95,5
2104,18/03/2016 19:24,Mushroom Bhajee,1,5.95,5
2104,18/03/2016 19:24,Dupiaza,1,8.95,5
2104,18/03/2016 19:24,Lamb Mysore,1,9.95,5
2105,18/03/2016 19:43,Plain Naan,1,2.6,7
2105,18/03/2016 19:43,Pilau Rice,5,2.95,7
2105,18/03/2016 19:43,Peshwari Naan,2,2.95,7
2105,18/03/2016 19:43,Saag Aloo,1,5.95,7
2105,18/03/2016 19:43,Curry,1,7.95,7
2105,18/03/2016 19:43,Chicken Tikka (Main),3,8.95,7
2105,18/03/2016 19:43,Korma,1,8.95,7
2106,18/03/2016 19:49,Keema Naan,1,2.95,5
2106,18/03/2016 19:49,Onion Bhajee,1,3.95,5
2106,18/03/2016 19:49,Madras Sauce,1,3.95,5
2106,18/03/2016 19:49,Chicken Tikka,1,4.95,5
2106,18/03/2016 19:49,Tandoori Chicken (Main),1,8.95,5
2107,18/03/2016 19:58,Garlic Naan,1,2.95,11
2107,18/03/2016 19:58,Peshwari Naan,1,2.95,11
2107,18/03/2016 19:58,Onion Naan,1,2.95,11
2107,18/03/2016 19:58,Plain Rice,1,2.95,11
2107,18/03/2016 19:58,Mushroom Rice,1,3.95,11
2107,18/03/2016 19:58,Saag Rice,1,3.95,11
2107,18/03/2016 19:58,Saag Aloo,1,5.95,11
2107,18/03/2016 19:58,Madras,1,7.95,11
2107,18/03/2016 19:58,Lamb Tikka Chilli Masala,1,8.95,11
2107,18/03/2016 19:58,Dupiaza,1,8.95,11
2107,18/03/2016 19:58,Butter Chicken,1,9.95,11
2108,18/03/2016 20:12,Plain Rice,1,2.95,5
2108,18/03/2016 20:12,Stuffed Paratha,1,3.95,5
2108,18/03/2016 20:12,Sheek Kehab,1,4.95,5
2108,18/03/2016 20:12,Saag Aloo,1,5.95,5
2108,18/03/2016 20:12,Madras,1,7.95,5
2109,18/03/2016 20:35,Plain Papadum,1,0.8,7
2109,18/03/2016 20:35,Plain Naan,1,2.6,7
2109,18/03/2016 20:35,Pilau Rice,1,2.95,7
2109,18/03/2016 20:35,French Fries,1,3.95,7
2109,18/03/2016 20:35,Onion Bhajee,1,3.95,7
2109,18/03/2016 20:35,Chicken Tikka Masala,1,8.95,7
2109,18/03/2016 20:35,Korma,1,8.95,7
2111,18/03/2016 21:27,Keema Naan,2,2.95,4
2111,18/03/2016 21:27,Kulcha Naan,1,2.95,4
2111,18/03/2016 21:27,Bhuna,1,8.95,4
2111,18/03/2016 21:27,Lamb Tikka Karahi,1,9.95,4
2112,19/03/2016 14:50,Meat Samosa,1,3.95,3
2112,19/03/2016 14:50,Chicken Tikka Chilli Masala,1,8.95,3
2112,19/03/2016 14:50,Lamb Tikka Chilli Masala,1,8.95,3
2113,19/03/2016 15:24,Korma Sauce,1,3.95,8
2113,19/03/2016 15:24,Masala Sauce,1,3.95,8
2113,19/03/2016 15:24,Chicken Tikka Chilli Masala,1,8.95,8
2113,19/03/2016 15:24,Lamb Tikka Chilli Masala,1,8.95,8
2113,19/03/2016 15:24,Vegetable Karahi,1,8.95,8
2113,19/03/2016 15:24,Chicken Shashlick Curry,1,12.95,8
2113,19/03/2016 15:24,Tandoori King Prawn Garlic,1,12.95,8
2113,19/03/2016 15:24,Tandoori King Prawn Masala,1,12.95,8
2114,19/03/2016 17:16,Onion Chutney,2,0.5,8
2114,19/03/2016 17:16,Keema Naan,1,2.95,8
2114,19/03/2016 17:16,Pilau Rice,1,2.95,8
2114,19/03/2016 17:16,Onion Bhajee,1,3.95,8
2114,19/03/2016 17:16,Sheek Kehab,1,4.95,8
2114,19/03/2016 17:16,Bombay Aloo,1,5.95,8
2114,19/03/2016 17:16,Chicken Tikka Jalfrezi,1,8.95,8
2114,19/03/2016 17:16,Korma,1,9.95,8
2115,19/03/2016 18:53,Cauliflower Bhajee,1,5.95,5
2115,19/03/2016 18:53,Saag Bhajee,1,5.95,5
2115,19/03/2016 18:53,Chicken Tikka (Main),1,8.95,5
2115,19/03/2016 18:53,Chicken Tikka Biryani,1,10.95,5
2116,19/03/2016 18:58,Mint Sauce,3,0.5,5
2116,19/03/2016 18:58,Keema Naan,1,2.95,5
2116,19/03/2016 18:58,Keema Rice,1,3.95,5
2116,19/03/2016 18:58,Korma,1,8.95,5
2116,19/03/2016 18:58,Chicken Biryani,1,9.95,5
2117,19/03/2016 19:15,Onion Chutney,1,0.5,11
2117,19/03/2016 19:15,Lime Pickle,1,0.5,11
2117,19/03/2016 19:15,Red Sauce,1,0.5,11
2117,19/03/2016 19:15,Plain Papadum,4,0.8,11
2117,19/03/2016 19:15,Plain Naan,1,2.6,11
2117,19/03/2016 19:15,Garlic Naan,1,2.95,11
2117,19/03/2016 19:15,Vegetable Rice,1,3.95,11
2117,19/03/2016 19:15,COBRA (660ML),2,5.95,11
2117,19/03/2016 19:15,Paneer Tikka Masala,1,8.95,11
2117,19/03/2016 19:15,Chicken Tikka Masala,1,8.95,11
2117,19/03/2016 19:15,Lamb Biryani,1,9.95,11
2118,19/03/2016 19:50,Plain Rice,1,2.95,3
2118,19/03/2016 19:50,Keema Naan,1,2.95,3
2118,19/03/2016 19:50,Chicken Tikka Pasanda,1,8.95,3
2119,19/03/2016 19:50,Plain Naan,1,2.6,5
2119,19/03/2016 19:50,Pilau Rice,1,2.95,5
2119,19/03/2016 19:50,Onion Bhajee,1,3.95,5
2119,19/03/2016 19:50,Aloo Gobi,1,5.95,5
2119,19/03/2016 19:50,Chicken Shashlick Curry,1,12.95,5
2120,19/03/2016 19:53,Garlic Naan,2,2.95,5
2120,19/03/2016 19:53,Onion Bhajee,1,3.95,5
2120,19/03/2016 19:53,Meat Samosa,1,3.95,5
2120,19/03/2016 19:53,Special Fried Rice,1,3.95,5
2120,19/03/2016 19:53,Curry,1,8.95,5
2121,19/03/2016 20:21,Plain Naan,1,2.6,9
2121,19/03/2016 20:21,Pilau Rice,1,2.95,9
2121,19/03/2016 20:21,Keema Naan,2,2.95,9
2121,19/03/2016 20:21,Special Fried Rice,1,3.95,9
2121,19/03/2016 20:21,Bombay Aloo,1,5.95,9
2121,19/03/2016 20:21,Chana Masala,1,5.95,9
2121,19/03/2016 20:21,Paneer Tikka Masala,1,8.95,9
2121,19/03/2016 20:21,Korma,1,8.95,9
2121,19/03/2016 20:21,Chicken Biryani,1,9.95,9
2122,19/03/2016 20:28,Chapati,1,1.95,8
2122,19/03/2016 20:28,Keema Naan,1,2.95,8
2122,19/03/2016 20:28,Pilau Rice,2,2.95,8
2122,19/03/2016 20:28,Bombay Aloo,1,5.95,8
2122,19/03/2016 20:28,Saag Paneer,1,5.95,8
2122,19/03/2016 20:28,Dupiaza,1,8.95,8
2122,19/03/2016 20:28,Paneer Tikka Masala,1,8.95,8
2122,19/03/2016 20:28,Butter Chicken,1,9.95,8
2123,19/03/2016 20:51,Garlic Naan,1,2.95,7
2123,19/03/2016 20:51,Peshwari Naan,1,2.95,7
2123,19/03/2016 20:51,Lemonade 1.5 ltr,1,2.95,7
2123,19/03/2016 20:51,Special Fried Rice,1,3.95,7
2123,19/03/2016 20:51,Bombay Aloo,1,5.95,7
2123,19/03/2016 20:51,Chicken Tikka Masala,1,8.95,7
2123,19/03/2016 20:51,Butter Chicken,1,9.95,7
2124,19/03/2016 21:06,Plain Papadum,1,0.8,7
2124,19/03/2016 21:06,Garlic Naan,1,2.95,7
2124,19/03/2016 21:06,Onion Bhajee,1,3.95,7
2124,19/03/2016 21:06,Curry Sauce,1,3.95,7
2124,19/03/2016 21:06,Mushroom Rice,1,3.95,7
2124,19/03/2016 21:06,Vegetable Roll,1,4.95,7
2124,19/03/2016 21:06,Korma,1,8.95,7
2126,20/03/2016 16:55,Keema Naan,1,2.95,8
2126,20/03/2016 16:55,Garlic Naan,1,2.95,8
2126,20/03/2016 16:55,Onion Bhajee,2,3.95,8
2126,20/03/2016 16:55,Lemon Rice,1,3.95,8
2126,20/03/2016 16:55,Mushroom Rice,1,3.95,8
2126,20/03/2016 16:55,Chicken Tikka Garlic,1,8.95,8
2126,20/03/2016 16:55,Chicken Tikka Jalfrezi,1,8.95,8
2126,20/03/2016 16:55,Chicken Balti,1,9.95,8
2127,20/03/2016 17:40,Red Sauce,1,0.5,12
2127,20/03/2016 17:40,Mint Sauce,1,0.5,12
2127,20/03/2016 17:40,Plain Papadum,2,0.8,12
2127,20/03/2016 17:40,Spicy Papadum,1,0.8,12
2127,20/03/2016 17:40,Plain Naan,1,2.6,12
2127,20/03/2016 17:40,Diet Coke 1.5 ltr,1,2.95,12
2127,20/03/2016 17:40,Chicken Chaat,1,4.95,12
2127,20/03/2016 17:40,King Prawn Puree,1,5.95,12
2127,20/03/2016 17:40,Bombay Aloo,1,5.95,12
2127,20/03/2016 17:40,Rogon,1,8.95,12
2127,20/03/2016 17:40,Korma,1,8.95,12
2127,20/03/2016 17:40,Chicken Tikka Biryani,1,10.95,12
2128,20/03/2016 18:23,Keema Naan,1,2.95,3
2128,20/03/2016 18:23,Madras,1,7.95,3
2128,20/03/2016 18:23,Bengal King Prawn,1,12.95,3
2129,20/03/2016 19:08,Plain Naan,1,2.6,8
2129,20/03/2016 19:08,Plain Rice,1,2.95,8
2129,20/03/2016 19:08,Meat Samosa,1,3.95,8
2129,20/03/2016 19:08,Onion Bhajee,1,3.95,8
2129,20/03/2016 19:08,Egg Rice,1,3.95,8
2129,20/03/2016 19:08,COBRA (660ML),1,5.95,8
2129,20/03/2016 19:08,Korma,2,8.95,8
2129,20/03/2016 19:08,Chicken Biryani,1,9.95,8
2130,20/03/2016 19:16,Mint Sauce,2,0.5,5
2130,20/03/2016 19:16,Onion Chutney,2,0.5,5
2130,20/03/2016 19:16,Onion Bhajee,1,3.95,5
2130,20/03/2016 19:16,Saag Dall,1,5.95,5
2130,20/03/2016 19:16,Bhuna,1,8.95,5
2131,20/03/2016 21:36,Plain Rice,1,2.95,8
2131,20/03/2016 21:36,Garlic Naan,2,2.95,8
2131,20/03/2016 21:36,Meat Samosa,1,3.95,8
2131,20/03/2016 21:36,Tandoori Chicken (1/4),1,4.95,8
2131,20/03/2016 21:36,Chicken Tikka Masala,1,8.95,8
2131,20/03/2016 21:36,Lamb Biryani,1,9.95,8
2131,20/03/2016 21:36,Chicken Biryani,1,9.95,8
2131,20/03/2016 21:36,Chicken Tikka Biryani,2,10.95,8
2132,21/03/2016 15:21,Plain Naan,1,2.6,4
2132,21/03/2016 15:21,Pilau Rice,1,2.95,4
2132,21/03/2016 15:21,Chicken Tikka Jalfrezi,1,8.95,4
2132,21/03/2016 15:21,Chicken Tikka Balti,1,10.95,4
2133,21/03/2016 18:27,Tandoori Roti,1,2.6,4
2133,21/03/2016 18:27,Saag Rice,1,3.95,4
2133,21/03/2016 18:27,Tandoori Fish,1,5.95,4
2133,21/03/2016 18:27,Chicken Tikka Chilli Masala,1,8.95,4
2134,21/03/2016 19:49,Mushroom Rice,1,3.95,6
2134,21/03/2016 19:49,Mixed Starter,1,5.95,6
2134,21/03/2016 19:49,Aloo Gobi,1,5.95,6
2134,21/03/2016 19:49,Bhuna,1,9.95,6
2134,21/03/2016 19:49,Bengal King Prawn,1,12.95,6
2134,21/03/2016 19:49,Lamb Shashlick Curry,1,12.95,6
2135,22/03/2016 18:08,Plain Rice,1,2.95,4
2135,22/03/2016 18:08,Lamb Tikka,1,4.95,4
2135,22/03/2016 18:08,Chicken Pakora,1,5.95,4
2135,22/03/2016 18:08,Chicken Tikka (Main),1,8.95,4
2136,22/03/2016 18:57,Vindaloo,1,7.95,2
2136,22/03/2016 18:57,Chicken Hari Mirch,1,9.95,2
2137,22/03/2016 19:54,Plain Naan,1,2.6,4
2137,22/03/2016 19:54,Plain Rice,1,2.95,4
2137,22/03/2016 19:54,Chicken Tikka Masala,1,8.95,4
2137,22/03/2016 19:54,Chicken Tikka Biryani,1,10.95,4
2150,23/03/2016 11:16,Plain Naan,1,2.6,5
2150,23/03/2016 11:16,Coke 1.5 ltr,1,2.95,5
2150,23/03/2016 11:16,Meat Samosa,1,3.95,5
2150,23/03/2016 11:16,Dhansak Sauce,1,3.95,5
2150,23/03/2016 11:16,Chicken Biryani,1,9.95,5
2151,23/03/2016 13:58,Red Sauce,1,0.5,6
2151,23/03/2016 13:58,Plain Papadum,1,0.8,6
2151,23/03/2016 13:58,Pilau Rice,1,2.95,6
2151,23/03/2016 13:58,Garlic Naan,1,2.95,6
2151,23/03/2016 13:58,Royal Paneer,1,5.95,6
2151,23/03/2016 13:58,Lamb Tikka Masala,1,8.95,6
2164,23/03/2016 17:16,Onion Chutney,1,0.5,10
2164,23/03/2016 17:16,Mint Sauce,1,0.5,10
2164,23/03/2016 17:16,Red Sauce,1,0.5,10
2164,23/03/2016 17:16,Plain Papadum,3,0.8,10
2164,23/03/2016 17:16,Garlic Naan,1,2.95,10
2164,23/03/2016 17:16,Peshwari Naan,1,2.95,10
2164,23/03/2016 17:16,Pilau Rice,1,2.95,10
2164,23/03/2016 17:16,Brinjal Bhajee,1,5.95,10
2164,23/03/2016 17:16,Saag Paneer,1,5.95,10
2164,23/03/2016 17:16,Chicken Tikka Garlic,1,8.95,10
2165,23/03/2016 17:49,Plain Papadum,4,0.8,5
2165,23/03/2016 17:49,Plain Naan,1,2.6,5
2165,23/03/2016 17:49,Pilau Rice,1,2.95,5
2165,23/03/2016 17:49,Curry,1,7.95,5
2165,23/03/2016 17:49,Chicken Biryani,1,9.95,5
